Titel;Album;Interpret;Jahr;;Titel;Album;Interpret;Jahr;;;;;
Friend In Need;Indelibly Stamped;Supertramp;1971;;Friend In Need;Indelibly Stamped;Supertramp;1971;;1;1;1;1
Froggie Went A Courtin';Good As I Been To You;Bob Dylan;1992;;Froggie Went A Courtin';Good As I Been To You;Bob Dylan;1992;;1;1;1;1
From A Buick Six;Highway 61 Revisited;Bob Dylan;1965;;From A Buick Six;Highway 61 Revisited;Bob Dylan;1965;;1;1;1;1
From Now On;Breakfast In America;Supertramp;1979;;From Now On;Breakfast In America;Supertramp;1979;;1;1;1;1
From Now On;Even In The Quietest Moments;Supertramp;1977;;From Now On;Even In The Quietest Moments;Supertramp;1977;;1;1;1;1
From Now On (live);It Was The Best Of Times;Supertramp;1999;;From Now On;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;#NV;1;#NV
From Now On (live);Paris;Supertramp;1980;;From Now On;The Very Best Of Supertramp;Supertramp;1990;;1;#NV;1;#NV
From Now On;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;From Now On (live);It Was The Best Of Times;Supertramp;1999;;#NV;1;1;1
From Now On;The Very Best Of Supertramp;Supertramp;1990;;From Now On (live);Paris;Supertramp;1980;;#NV;1;1;1
Gates Of Eden;Bringing It All Back Home;Bob Dylan;1965;;Gates Of Eden;Bringing It All Back Home;Bob Dylan;1965;;1;1;1;1
Get Your Act Together;Some Things Never Change;Supertramp;1997;;Get Your Act Together;Some Things Never Change;Supertramp;1997;;1;1;1;1
Girl From The North Country;Nashville Skyline;Bob Dylan;1969;;Girl From The North Country;Nashville Skyline;Bob Dylan;1969;;1;1;1;1
Give A Little Bit;Breakfast In America;Supertramp;1979;;Give A Little Bit;Breakfast In America;Supertramp;1979;;1;1;1;1
Give A Little Bit;Even In The Quietest Moments;Supertramp;1977;;Give A Little Bit;Even In The Quietest Moments;Supertramp;1977;;1;1;1;1
Give A Little Bit;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Give A Little Bit;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;1
Give A Little Bit;The Very Best Of Supertramp;Supertramp;1990;;Give A Little Bit;The Very Best Of Supertramp;Supertramp;1990;;1;1;1;1
Give Me A Chance;Some Things Never Change;Supertramp;1997;;Give Me A Chance;Some Things Never Change;Supertramp;1997;;1;1;1;1
God Knows;Under The Red Sky;Bob Dylan;1990;;God Knows;Under The Red Sky;Bob Dylan;1990;;1;1;1;1
Goin' To Acapulco;The Basement Tapes;Bob Dylan;1975;;Goin' To Acapulco;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Going, Going, Gone;Planet Waves;Bob Dylan;1974;;Going, Going, Gone;Planet Waves;Bob Dylan;1974;;1;1;1;1
Goldrush;Slow Motion;Supertramp;2002;;Goldrush;Slow Motion;Supertramp;2002;;1;1;1;1
Gone Hollywood;Breakfast In America;Supertramp;1979;;Gone Hollywood;Breakfast In America;Supertramp;1979;;1;1;1;1
